position de 		Y	X
position, de 2		scribe 1	scribe 2		explorateur
distance 1-2	70	Armades/Playmo	Manu57		Akyruu			méthode des cercles
point :	côté : G/D	Distance à S1	Distance à S2	hauteur	observations			Y		X		z					Adjacent (Y)
point 1	D	6	70	1	Entrée 1 côté droit (surélévation 1m par rapport au sol de la salle)			6		0		1					#DIV/0!
point 2	D	12	68	1	Contour 1			12		3		1
point 3	D	15	73	1	Contour 2			17		-1		1
point 4	D	15	73		Contour 2			17		-1		0
point 5	D	24	73	-1.5	Contour 3 (affaissement 0,5m pour se cacher)			24		1		-1.5
point 6	D	26	71		Contour 4			26		4		0
point 7	D	28	68	1	Contour 5 (base colonne 1, point 1)			28		8		1
point 8	D	28	68		Contour 5 (base colonne 1, point 1)			28		8		0
point 9	D	32	59	1	Contour 6 (base colonne 1, point 2)			26		17		1
point 10	D	32	59		Contour 6 (base colonne 1, point 2)			26		17		0
point 11	D	23	67	1	Base colonne 1, point 3			23		7		1
point 12	D	23	67		Base colonne 1, point 3			23		7		0
point 13	D	19	62	1	Base colonne 1, point 4			16		10		1
point 14	D	19	62		Base colonne 1, point 4			16		10		0
point 15	D	27	55	1	Base colonne 1, point 5			21		19		1
point 16	D	27	55		Base colonne 1, point 5			21		19		0
point 17	D	30	56	1	Base colonne 1, point 6			23		19		1
point 18	D	30	56		Base colonne 1, point 6			23		19		0
point 19	D	40	51		Entrée 2 côté gauche			29		28		0
point 20	D	42	43		Entrée 2 côté droite			24		34		0
point 21	D	47	35		Contour, Renfoncement 1 côté gauche			21		42		0
point 22	D	51	34		Contour, Renfoncement 1 fond (position couchée uniquement)			23		45		0
point 23	D	48	31		Contour, Renfoncement 1 côté droit			18		45		0
point 24	D	49	25		Contour 7			12		48		0
point 25	D	63	15		Contour 8 (petit renfoncement)			13		62		0
point 26	D	70	0		Contour 9			0		70		0
point 27	G	67	6		Contour 10			5		67		0
point 28	G	75	32		Contour 11			32		68		0
point 29	G	64	47		Contour 12 (éboulis 1 côté gauche)			42		48		0
point 30	G	58	51	1	Entrée 3 côté gauche (éboulis 1 côté droit)			41		40		1
point 31	G	58	51		Entrée 3 côté gauche (éboulis 1 côté droit)			41		40		0
point 32	G	50	57	1	Entrée 3 côté droit			41		30		1
point 33	G	50	57		Entrée 3 côté droit			41		30		0
point 34	G	41	60		Contour 13			35		21		0
point 35	G	40	63		Contour Renfoncement 2 côté gauche			36		18		0
point 36	G	37	70	4	Contour Renfoncement 2 fond (début plateau 1)			37		10		4
point 37	G	37	70	1	Contour Renfoncement 2 fond			37		10		1
point 38	G	34	61	4	Renfoncement 2 côté droit (angle 1 plateau 1)			30		17		4
point 39	G	34	61		Renfoncement 2 côté droit			30		17		0
point 40	G	23	63	4	Plateau 1, angle 2			19		10		4
point 41	G	23	63		Plateau 1, angle 2 (jonction éboulis 2)			24		2		0
point 42	G	24	72	4	Contour 14 (fin du plateau 1)			24		2		4
point 43	G	24	72		Contour 14 (fin du plateau 1)			24		2		0
point 44	G	13	69	2	Contour 15			12		2		2
point 45	G	13	69		Contour 15 (début plateau 2 + début éboulis 2)			12		2
point 46	G	22	57	2	Plateau 2, angle 1			15		15		2
point 47	G	22	57		Plateau 2, angle 1 (fin éboulis 2)			15		15
point 48	G	22	50	2	Plateau 2, angle 2			10		21		2
point 49	G	22	50		Plateau 2, angle 2			10		21
point 50	G	11	60	2	Plateau 2, angle 3			0		10		2
point 51	G	11	60		Plateau 2, angle 3 (accès au plateau)			0		10
point 52	G	5	68	2	Plateau 2, angle 4 (fin du plateau + entrée 1 côté gauche)			0		2		2
point 53	G	5	68	1	Plateau 2, angle 4 (fin du plateau + entrée 1 côté gauche)			0		2		1
point 54	G	5	68		Plateau 2, angle 4 (fin du plateau + entrée 1 côté gauche)			0		2
point 55	D	25	65		Colonne 1, point 1			22		9
point 56	D	22	63		Colonne 1, point 2			19		10
point 57	D	26	57		Colonne 1, point 3			21		17
point 58	D	28	57		Colonne 1, point 4			21		17
point 59	D	29	64		Colonne 1, point 5			27		12
point 60	G	42	41	1	Base colonne 2, Point 1			23		36		1
point 61	G	42	41		Base colonne 2, Point 1			23		36
point 62	G	45	50	1	Base colonne 2, Point 2			32		32		1
point 63	G	45	50		Base colonne 2, Point 2			32		32
point 64	G	39	54	1	Base colonne 2, Point 3			30		25		1
point 65	G	39	54		Base colonne 2, Point 3			30		25
point 66	G	34	55	1	Base colonne 2, Point 4			27		22		1
point 67	G	34	55		Base colonne 2, Point 4			27		22
point 68	G	32	50	1	Base colonne 2, Point 5			20		24		1
point 69	G	32	50		Base colonne 2, Point 5			20		24
point 70	G	41	44		Colonne 2, Point 1			24		33
point 71	G	42	50		Colonne 2, Point 2			30		30
point 72	G	38	52		Colonne 2, Point 3			28		26
point 73	G	34	51		Colonne 2, Point 4			24		25
point 74	G	37	46		Colonne 2, Point 5			23		30
point 75	G	60	38		Gouffre 1, Point 1, Point d'escalade			32		50
point 76	G	61	34		Gouffre 1, Point 2			29		53
point 77	G	61	31		Gouffre 1, Point 3			27		55
point 78	G	63	29		Gouffre 1, Point 4			26		57
point 79	G	63	29	-1	Gouffre 1, Point 4			26		57		-1
point 80	G	67	30	-1	Gouffre 1, Point 5			29		61		-1
point 81	G	68	37	-1	Gouffre 1, Point 6			35		58		-1
point 82	G	68	37		Gouffre 1, Point 6			35		58
point 83	G	64	37		Gouffre 1, Point 7			33		54
point 84	D	51	21		Eboulis 3, Point 1 (hauteur centrale de l'éboulis 3m)			6		50
point 85	G	52	18		Eboulis 3, Point 2			0		52
point 86	G	61	9		Eboulis 3, Point 3			0		61
point 87	D	58	15		Eboulis 3, Point 4			7		57
point 88	D	19	64		Eboulis 4, Point 1 (Jonction avec colonne 2) (hauteur centrale de l'éboulis 3m)			16		8
point 89	D	11	62		Eboulis 4, Point 2			0		8
point 90	D	18	54		Eboulis 4, Point 3			0		16
point 91	D	24	51		Eboulis 4, Point 4			14		21
point 92	D	26	56		Eboulis 4, Point 5			18		17
point 93	D	15	55		Bombones x5 (0,8m de hauteur)			0		15
