position de 		Y	X												
position, de 2		scribe 1	scribe 2		explorateur										
distance 1-2	72	Kr0mani0n	BARDOK		TANNARD						méthode des cercles				
point :	côté : G/D	Distance à S1	Distance à S2	hauteur	catégorie	N°	type de ponctuel	observations			X		Y		z
point 1	D	4	69		Entrée	1				1	3	3,048611111	3		0
point 2	G	5	68		Entrée	1				-1	-3	4,0625	4		0
point 3	G	38	76		Contour					-1	-38	5,916666667	6		0
point 4	G	43	71		Contour					-1	-41	13,83333333	14		0
point 5	G	38	74		Contour					-1	-37	8	8		0
point 6	G	27	69		Contour					-1	-26	8	8		0
point 7	G	29	61		Contour					-1	-24	16	16		0
point 8	G	40	58		Contour					-1	-32	23,75	24		0
point 9	G	51	54		Entrée	2				-1	-38	33,8125	34		0
point 10	G	59	49		Entrée	2				-1	-40	43,5	44		0
point 11	G	71	38		Contour					-1	-36	60,97916667	61		0
point 12	G	70	30		Contour					-1	-29	63,77777778	64		0
point 13	G	73	29		Contour					-1	-29	67,16666667	67		0
point 14	G	69	20		Contour					-1	-19	66,28472222	66		0
point 15	G	72	17		Contour					-1	-17	69,99305556	70		0
point 16	G	68	10		Contour					-1	-9	67,41666667	67		0
point 17	G	69	5		Entrée	3				-1	-4	68,88888889	69		0
point 18	D	61	3		Entrée	3				1		61,77777778	62		0
point 19	D	68	34		Contour					1	32	60,08333333	60		0
point 20	D	55	38		Contour					1	29	46,97916667	47		0
point 21	D	49	38		Contour					1	24	42,64583333	43		0
point 22	D	30	51	0	Escarpement	1				1	18	24,1875	24		0
point 23	D	30	51	7	Escarpement	1				1	18	24,1875	24		7
point 24	D	41	52	2	Escarpement	1				1	29	28,89583333	29		2
point 25	D	41	52	0	Escarpement	1				1	29	28,89583333	29		0
point 26	D	44	46		Entrée	4				1	27	34,75	35		0
point 27	D	41	52		Entrée	4				1	29	28,89583333	29		0
point 28	D	29	63		Contour					1	25	14,27777778	14		0
point 29	D	29	63	0	Escarpement	2				1	25	14,27777778	14		0
point 30	D	16	69	0	Escarpement	2				1	15	4,715277778	5		0
point 31	D	16	69	7	Escarpement	2				1	15	4,715277778	5		7
point 32	D	11	68	0	Contour					1	10	4,729166667	5		0
point 33	D	11	68	0	Escarpement	2				1	10	4,729166667	5		0
point 34	D	11	68	3	Contour					1	10	4,729166667	5		3
point 35	D	11	68	3	Escarpement	2				1	10	4,729166667	5		3
point 36	D	20	71	2	Contour					1	20	3,770833333	4		2
point 37	D	11	68		Contour					1	10	4,729166667	5		0
point 38	D	29	44		Point d'escalade (Gouffre)	1	point d'escalade			1	6	28,39583333	28		0
point 39	G	29	44		Gouffre	1				-1	-6	28,39583333	28		0
point 40	G	35	38		Gouffre	1				-1	-6	34,47916667	34		0
point 41	G	37	38		Gouffre	1				-1	-10	35,47916667	35		0
point 42	G	39	34		Gouffre	1				-1	-6	38,53472222	39		0
point 43	G	45	28		Gouffre	1				-1	-6	44,61805556	45		0
point 44	D	46	26		Gouffre	1				1	0	46	46		0
point 45	D	43	29		Gouffre	1				1	0	43	43		0
point 46	D	40	32		Gouffre	1				1	0	40	40		0
point 47	G	52	21		Point d'escalade (Gouffre)	2	point d'escalade			-1	-5	51,71527778	52		0
point 48	G	52	21		Gouffre	2				-1	-5	51,71527778	52		0
point 49	G	56	17		Gouffre	2				-1	-5	55,77083333	56		0
point 50	G	60	16		Gouffre	2				-1	-10	59,22222222	59		0
point 51	G	63	12		Gouffre	2				-1	-7	62,5625	63		0
point 52	G	60	13		Gouffre	2				-1	-5	59,82638889	60		0
point 53	G	44	44		Point d'escalade (Gouffre)	3	point d'escalade			-1	-25	36	36		0
point 54	G	44	44		Gouffre	3				-1	-25	36	36		0
point 55	G	45	50		Gouffre	3				-1	-31	32,70138889	33		0
point 56	G	49	44		Gouffre	3				-1	-29	39,22916667	39		0
point 57	G	59	35		Point d'escalade (Gouffre)	4	point d'escalade			-1	-28	51,66666667	52		0
point 58	G	59	35		Gouffre	4				-1	-28	51,66666667	52		0
point 59	G	62	35		Gouffre	4				-1	-30	54,1875	54		0
point 60	G	66	35		Gouffre	4				-1	-32	57,74305556	58		0
point 61	G	66	26		Gouffre	4				-1	-24	61,55555556	62		0
point 62	G	61	26		Gouffre	4				-1	-21	57,14583333	57		0
point 63	G	59	30		Gouffre	4				-1	-24	53,92361111	54		0
point 64	G	29	58		Consommable		Lichens			-1	-22	18,47916667	18		0
point 65	G	31	56		Consommable		Feces			-1	-23	20,89583333	21		0
point 66	D	33	57		Consommable		Feces			1	25	21	21		0
point 67	D	25	56		Consommable		Lichens			1	17	18,5625	19		0
point 68	G	35	55		Consommable		Feces			-1	-26	23,5	24		0
point 69	D	17	64		Consommable		Lichens			1	14	9,5625	10		0
point 70	D	23	54		Consommable		Feces			1	12	19,42361111	19		0
point 71	D	39	47		Consommable		Lichens	x2		1	23	31,22222222	31		0
point 72	D	9	66		Consommable		Minerai			1	6	6,3125	6		0
point 73	D	45	51		Consommable		Lichens			1	32	32	32		0
point 74	D	31	46		Consommable		Lichens			1	13	27,97916667	28		0
point 75										1		36			0
point 76										1		36			0
point 77										1		36			0
point 78										1		36			0
point 79										1		36			0
point 80										1		36			0
point 81										1		36			0
point 82										1		36			0
point 83										1		36			0
point 84										1		36			0
point 85										1		36			0
point 86										1		36			0
point 87										1		36			0
point 88										1		36			0
point 89										1		36			0
point 90										1		36			0
point 91										1		36			0
point 92										1		36			0
point 93										1		36			0
point 94										1		36			0
point 95										1		36			0
point 96										1		36			0
point 97										1		36			0
point 98										1		36			0
point 99										1		36			0
point 100										1		36			0
point 101										1		36			0
point 102										1		36			0
point 103										1		36			0
point 104										1		36			0
point 105										1		36			0
point 106										1		36			0
point 107										1		36			0
point 108										1		36			0
point 109										1		36			0
point 110										1		36			0
point 111										1		36			0
point 112										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
										1		36			0
