position de 		Y	X														
position, de 2		scribe 1	scribe 2		explorateur												
distance 1-2	38	Akyruu	Manu		Playmo			méthode des cercles									
point :	côté : G/D	Distance à S1	Distance à S2	hauteur	observations			Y		X		z					Adjacent (Y)
point 1	D	6	38	1	Entrée 1 côté droit			0		0		1					#DIV/0!
point 2	D	9	38	1	Contour, renfoncement 1 côté droit (1,60m hauteur)			9		1		1					
point 3	D	9	38		Contour, renfoncement 1 (1,60m hauteur)			9		1		0					
point 4	D	10	40		Contour, renfoncement 1 Fond (1,60m hauteur)			9		-1		0					
point 5	D	11	37		Contour, renfoncement 1 côté gauche (1,60m hauteur)			12		3		0					
point 6	D	19	33		Entrée 2 côté gauche			16		9		0					
point 7	D	20	31		Entrée 2 côté droit			17		12		0					
point 8	D	22	28		Contour 1			16		15		0					
point 9	D	22	25		Contour 2			14		17		0					
point 10	D	25	21		Contour 3			12		21		0					
point 11	D	26	19		Contour 4			12		23		0					
point 12	D	33	20		Contour 5			17		28		0					
point 13	D	36	19		Contour 6			18		31		0					
point 14	D	37	19		Contour 7, renfoncement 2 (pronfondeur 2m)			18		32		0					
point 15	D	38	17		Contour 8			17		34		0					
point 16	D	36	14		Contour 9			13		33		0					
point 17	D	34	9		Contour 10			7		33		0					
point 18	D	36	6		Contour 11			6		36		0					
point 19	D	38	0		Contour 12			0		38		0					
point 20	G	38	4	-2	Contour 13, début Trou 1			4		38		-2					
point 21	G	38	4		Contour 13, début Trou 1			4		38		0					
point 22	G	35	5	-2	Trou 1			4		35		-2					
point 23	G	35	5		Trou 1			4		35		0					
point 24	G	35	9	-2	Contour 14, fin Trou 1			8		34		-2					
point 25	G	35	9		Contour 14, fin Trou 1			8		34		0					
point 26	G	34	12		Contour 15			10		32		0					
point 27	G	32	12		Contour 16			10		31		0					
point 28	G	33	15		Contour 17			13		30		0					
point 29	G	32	17	1,5	Contour 18, Base colonne 1, Point 1			14		29		1,5					
point 30	G	32	17		Contour 18, Base colonne 1, Point 1			14		29		0					
point 31	G	28	20	1,5	Contour 19, Base colonne 1, Point 2			14		24		1,5					
point 32	G	28	20		Contour 19, Base colonne 1, Point 2			14		24		0					
point 33	G	25	22	1,5	Base colonne 1, Point 3			14		21		1,5					
point 34	G	25	22		Base colonne 1, Point 3			14		21		0					
point 35	G	25	25	1,5	Base colonne 1, Point 4			16		19		1,5					
point 36	G	25	25		Base colonne 1, Point 4			16		19		0					
point 37	G	26	27	1,5	Base colonne 1, Point 5, Accès base colonne			18		18		1,5					
point 38	G	26	27		Base colonne 1, Point 5			18		18		0					
point 39	G	25	28	1,5	Base colonne 1, Point 6			19		17		1,5					
point 40	G	25	28		Base colonne 1, Point 6			19		17		0					
point 41	G	32	21	1,5	Contour 20, Colonne 1			22		19		1,5					
point 42	G	29	22	1,5	Contour 21, Colonne 1			22		19		0					
point 43	G	30	27	1,5	Contour 22, Colonne 1			21		21		1,5					
point 44	G	29	29	1,5	Contour 23, Base colonne 1			#REF!		#REF!		#REF!					
point 45	G	29	29		Contour 24			#REF!		#REF!		#REF!					
point 46	G	24	35		Contour 24			21		10							
point 47	G	22	37		Contour 25			#REF!		#REF!		#REF!					
point 48	G	19	39		Contour 26, début Renfoncement 3			#REF!		#REF!		#REF!					
point 49	G	21	42		Contour 27, intérieur Renfoncement 3			22		2							
point 50	G	24	43		Contour 28, intérieur Renfoncement 3			24		2							
point 51	G	23	43		Contour 29, intérieur Renfoncement 3			24		2							
point 52	G	24	45		Contour 30, fond Renfoncement 3			24		0							
point 53	G	21	44		Contour 31, intérieur Renfoncement 3			20		-1							
point 54	G	18	42		Contour 32, intérieur Renfoncement 3			18		0							
point 55	G	16	41		Contour 33, fin Renfoncement 3			15		0							
point 56	G	14	39		Contour 34, jonction Eboulis 1			15		2							
point 57	G	12	34		Eboulis1, Point 1			11		6							
point 58	G	9	34		Eboulis1, Point 2			8		5							
