position de 		Y	X
position, de 2		scribe 1	scribe 2		explorateur				
distance 1-2	44	Ereruhn	Akyruu		SiegfriedVH				
point :	côté : G/D	Distance à S1	Distance à S2	hauteur	catégorie	N°	type de ponctuel	observations	
point 1	D	3	44		Entrée	1		Entrée = Arche	
point 2	D	7	40		Contour				
point 3	D	13	39		Contour				
point 4	D	18	43		Contour				
point 5	D	25	29		Contour				
point 6	D	30	22		Contour				
point 7	D	30	22	1	Contour				
point 8	D	30	22		Colonne (base)	1		Colonne collé au contour	
point 9	D	30	22	1	Colonne (base)	1			
point 10	D	26	21		Colonne (base)	1			
point 11	D	26	21	1	Colonne (base)	1			
point 12	D	29	16		Colonne (base)	1			
point 13	D	29	16	1	Colonne (base)	1			
point 14	D	36	12		Colonne (base)	1			
point 15	D	36	12	1	Colonne (base)	1			
point 16	D	30	22	1	Colonne	1			
point 17	D	28	19	1	Colonne	1			
point 18	D	33	15	1	Colonne	1			
point 19	D	35	16		Colonne	1			
point 20	D	35	20		Colonne	1			
point 21	D	39	16		Colonne (base)	1			
point 22	D	39	16	1	Colonne (base)	1			
point 23	D	39	16		Contour				
point 24	D	39	16	1	Contour				
point 25	D	47	14		Contour				
point 26	D	43	11		Contour				
point 27	D	44	0		Contour				
point 28	G	44	0	-2	Sous-bassement	1			
point 29	G	38	7		Sous-bassement	1			
point 30	G	38	7	-1	Sous-bassement	1			
point 31	G	40	6		Sous-bassement	1			
point 32	G	40	6	-1	Sous-bassement	1			
point 33	G	43	6		Contour				
point 34	G	44	14		Contour				
point 35	G	49	26		Contour				
point 36	G	40	30		Contour				
point 37	G	32	32		Contour				
point 38	G	28	43		Contour				
point 39	G	19	45		Contour				
point 40	G	17	43		Contour				
point 41	G	17	43		Talus	1			
point 42	G	19	41		Talus	1			
point 43	G	18	33		Talus	1			
point 44	G	11	34		Talus	1			
point 45	G	4	42		Talus	1			
point 46	G	10	47		Talus	1			
point 47	G	10	42	3	Talus (Sommet)	1			
point 48	G	10	47		Entrée	1			
point 49	D	4	41		Sous-bassement	2			
point 50	D	4	41	-2	Sous-bassement	2			
point 51	D	4	41		Point d'escalade	2		Point d'escalade du sous-bassement 2	
point 52	D	6	39		Sous-bassement	2			
point 53	D	6	39	-2	Sous-bassement	2			
point 54	G	7	38		Sous-bassement	2			
point 55	G	7	38	-2	Sous-bassement	2			
point 56	D	18	35		Sous-bassement	3			
point 57	D	25	27		Sous-bassement	3			
point 58	D	25	27	-2	Sous-bassement	3			
point 59	D	20	28		Sous-bassement	3			
point 60	D	21	24		Gouffre	1			
point 61	D	21	24		Point d'escalade	1		Point d'escalade du gouffre 1	
point 62	D	22	23		Gouffre	1			
point 63	G	19	26	-2	Gouffre	1			
point 64	G	26	19	-1	Gouffre	1			
point 65	G	26	19		Gouffre	1			
point 66	G	29	17		Sous-bassement	4			
point 67	G	19	27	-2	Sous-bassement	4			
point 68	G	20	28	-1	Sous-bassement	4			
point 69	G	18	32		Sous-bassement	4			
point 70	G	22	31		Sous-bassement	4			
point 71	G	28	24		Sous-bassement	4			
point 72	G	31	17		Sous-bassement	4			
point 73	D	18	33	0	Consommable		Feces		
point 74	D	27	20	1	Consommable		Lichens		
point 75	D	36	16	1	Consommable		Feces		
point 76	D	30	16	1	Consommable		Feces		
point 77	D	37	7	0	Consommable		Lichens		
point 78	G	36	11	0	Consommable		Lichens		
point 79									
point 80									
point 81									
point 82									
point 83									
point 84									
point 85									
point 86									
point 87									
point 88									
point 89									
point 90									
point 91									
point 92									
point 93									
point 94									
point 95									
point 96									
point 97									
point 98									
point 99									
point 100									
point 101									
point 102									
point 103									
point 104									
point 105									
point 106									
point 107									
point 108									
point 109									
point 110									
point 111									
point 112									
point 113									
point 114									
point 115									
point 116									
point 117									
point 118									
point 119									
point 120									
point 121									
point 122									
point 123									
point 124									
point 125									
point 126									
point 127									
point 128									
point 129									
point 130									
point 131									
point 132									
point 133									
point 134									
point 135									
point 136									
point 137									
point 138									
point 139									
point 140									
point 141									
point 142									
point 143									
point 144									
point 145									
point 146									
point 147									
point 148									
point 149									
point 150									
point 151									
point 152									
point 153									
point 154									
point 155									
point 156									
point 157									
point 158									
point 159									
point 160									
point 161									
point 162									
point 163									
point 164									
point 165									
point 166									
point 167									
point 168									
point 169									
point 170									
point 171									
point 172									
point 173									
point 174									
point 175									
point 176									
point 177									
point 178									
point 179									
point 180									
point 181									
point 182									
point 183									
point 184									
point 185									
point 186									
point 187									
point 188									
point 189									
point 190									
point 191									
point 192									
point 193									
point 194									
point 195									
point 196									
point 197									
point 198									
point 199									
point 200									
point 201									
point 202									
point 203									
point 204									
point 205									
point 206									
point 207									
point 208									
point 209									
point 210									
point 211									
point 212									
point 213									
point 214									
point 215									
point 216									
point 217									
point 218									
point 219									
point 220									
point 221									
point 222									
point 223									
point 224									
point 225									
point 226									
point 227									
point 228									
point 229									
point 230									
point 231									
point 232									
point 233									
point 234									
point 235									
point 236									
